"ÀREA	";"ÀREA_descripció";"UNITAT";"UNITAT_descripció";"DEPARTAMENT";"	DEPARTAMENT_descripció"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"501";"BIBLIOTEQUES"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"502";"MUSEU D'HISTÒRIA DE GIRONA"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"503";"TEATRE MUNICIPAL"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"504";"LA MERCÈ"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"505";"BÒLIT- CENTRE ART CONTEMPORANI"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"506";"ESPAI MARFÀ"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"507";"DINAMITZACIÓ DEL TERRITORI"
"5";"ÀREA DRET A LES PERSONES";"50";"CULTURA";"508";"JOVENTUT"
"5";"ÀREA DRET A LES PERSONES";"51";"EDUCACIÓ, ESPORTS I SEGURETAT EN EL TREBALL";"510";"EDUCACIÓ"
"5";"ÀREA DRET A LES PERSONES";"51";"EDUCACIÓ, ESPORTS I SEGURETAT EN EL TREBALL";"511";"ESPORTS"
"5";"ÀREA DRET A LES PERSONES";"51";"EDUCACIÓ, ESPORTS I SEGURETAT EN EL TREBALL";"512";"SEGURETAT EN EL TREBALL"
"5";"ÀREA DRET A LES PERSONES";"52";"PARTICIPACIÓ CIUTADANA";"520";"PARTICIPACIÓ"
"6";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"60";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"600";"PROMOCIÓ ECONÒMICA"
"6";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"60";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"601";"TURISME"
"6";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"60";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"602";"EMPRESA"
"6";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"60";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"603";"COMERÇ"
"6";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"60";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"604";"SERVEI MUNICIPAL D'OCUPACIÓ"
"6";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"60";"PROMOCIÓ ECONÒMICA DESENVOLUPAMENT LOCAL, TURISME I OCUPACIÓ";"605";"OFICINA MUNICIPAL ATENCIÓ AL CONSUMIDOR"
